f,amplitude_1,amplitude_2
0,0.00424023361512384,0.00436471986274647
0.10521324384585,0.00646190477640661,0.00664812029982294
0.2104264876917,0.00194817953910648,0.00199151172958683
0.31563973153755,0.00183297357600012,0.00191260558581101
0.4208529753834,0.00277233484610474,0.00287173693026929
0.526066219229251,0.00139416161776762,0.00140008196011397
0.631279463075101,0.000355304911137663,0.000478801560936977
0.736492706920951,0.000706177098795203,0.000906463646097551
0.841705950766801,0.000646057629104452,0.000503673872022545
0.946919194612651,0.00046113828970611,0.000310009017336416
1.0521324384585,9.45845931927724e-05,0.000116586282015448
1.15734568230435,0.000230224067240643,7.00987241209471e-05
1.2625589261502,6.88410219465453e-05,6.07645510879166e-05
1.36777216999605,7.11571453430514e-05,5.90329553056827e-05
1.4729854138419,6.38446108781808e-05,4.50481966430892e-05
1.57819865768775,2.37099445560801e-05,4.26246490643224e-05
1.6834119015336,2.1841366962192e-05,1.23551150139048e-05
1.78862514537945,1.72419477648612e-05,5.53671824974749e-06
1.8938383892253,6.59868626640364e-06,1.02547871853e-05
1.99905163307115,1.00012213530731e-05,1.43472769237743e-05
2.104264876917,8.45181469754837e-06,6.46646821050317e-06
2.20947812076285,4.50892677846232e-06,1.10143005081142e-06
2.3146913646087,5.73781437600884e-06,3.58107513669142e-06
2.41990460845455,1.23076320018312e-06,3.17109142320439e-06
2.5251178523004,7.88483050749245e-06,9.72308882932549e-06
2.63033109614625,4.51725196304917e-06,3.60432980182089e-06
2.7355443399921,1.07245165016487e-05,1.24647117507339e-05
2.84075758383795,1.3049041488071e-05,1.25557474526745e-05
2.9459708276838,1.00006621480578e-05,1.50612012079038e-05
3.05118407152965,3.98848795455912e-05,4.77018064592052e-05
3.1563973153755,4.85417276565736e-05,5.52869244222012e-05
3.26161055922135,3.07960496998339e-05,3.40981535574477e-05
3.3668238030672,6.15095636459891e-06,6.63268914168615e-06
3.47203704691305,6.44317732921032e-06,6.79453314816319e-06
3.5772502907589,5.05783099209903e-06,5.23910199366287e-06
3.68246353460475,9.66411487214183e-07,7.82774867635475e-07
3.7876767784506,2.98661400255145e-06,3.08788430201229e-06
3.89289002229645,1.52301638218118e-06,1.48965128809247e-06
3.9981032661423,1.09974763434185e-06,1.09005312871373e-06
4.10331650998815,1.62170795474822e-06,1.64407413399052e-06
4.208529753834,3.07264280076974e-07,2.44863243582913e-07
4.31374299767985,1.36574231762996e-06,1.53164464005884e-06
4.4189562415257,7.22320466610177e-07,5.58346554397337e-07
4.52416948537156,1.10854792286011e-06,1.3387761623912e-06
4.62938272921741,1.26669856939397e-06,1.10411080878879e-06
4.73459597306325,4.4792305349455e-07,9.54659431427276e-07
4.8398092169091,1.22810931442153e-06,1.51079544260019e-06
4.94502246075495,1.16887545492821e-07,3.48676233183804e-07
5.05023570460081,1.20585558064658e-06,1.57911410967612e-06
5.15544894844666,1.51427554793182e-07,2.2859977032869e-07
5.26066219229251,1.2602269891363e-06,1.42859630588302e-06
5.36587543613836,6.16366668573152e-07,7.02361641532147e-07
5.4710886799842,1.0049792554139e-06,1.08562411613782e-06
5.57630192383006,8.52092723900607e-07,9.31719026943003e-07
5.68151516767591,7.93642309040101e-07,8.07424290181324e-07
5.78672841152176,1.1120955533039e-06,1.10769004075838e-06
5.89194165536761,4.93649842734963e-07,5.70454308841091e-07
5.99715489921346,1.2907276281028e-06,1.31462261124062e-06
6.10236814305931,3.25226333726775e-07,5.104048341785e-07
6.20758138690516,2.36538705118852e-06,2.68206891770155e-06
6.31279463075101,2.31331760521175e-06,2.58298492344307e-06
6.41800787459686,6.98240374252908e-07,8.55635686736873e-07
6.52322111844271,2.66796779284845e-07,1.77273188235177e-07
6.62843436228856,1.1600294424295e-07,6.55776806071392e-09
6.73364760613441,2.70108276078559e-07,1.46108819906153e-07
6.83886084998026,1.26368680145547e-07,1.92539501057126e-07
