f,amplitude_ 1,amplitude_ 2,amplitude_ 3,amplitude_ 4,amplitude_ 5,amplitude_ 6,amplitude_ 7,amplitude_ 8,amplitude_ 9,amplitude_10,amplitude_11,amplitude_12
95.9255786122817,4.18771391909392e-09,1.16314247577863e-09,2.50430365157462e-08,4.78349903640801e-09,2.54191713342637e-08,4.51319631071859e-08,1.4665862398305e-08,1.46932631581678e-07,1.47957767324095e-07,8.27623884088203e-08,2.36522368984157e-07,8.88753201058968e-08
96.0756968886702,4.18327057407573e-09,1.16190972213805e-09,2.50162803526631e-08,4.7775452033158e-09,2.53906924449318e-08,4.50842346493056e-08,1.46527656527474e-08,1.46776591941374e-07,1.47799235223967e-07,8.26749219248987e-08,2.36274636531555e-07,8.87802833754085e-08
96.2258151650588,4.17885694298254e-09,1.1606968134487e-09,2.49895365791428e-08,4.77099562628261e-09,2.53626132680506e-08,4.50387093880359e-08,1.46402264010951e-08,1.46619816131434e-07,1.47643349333574e-07,8.25903825322941e-08,2.36027555317705e-07,8.86883205912764e-08
96.3759334414473,4.17444431064004e-09,1.1595799925021e-09,2.49628956430895e-08,4.76437418723111e-09,2.53356632717319e-08,4.49938118050037e-08,1.46251070746535e-08,1.46466641733776e-07,1.47491450240071e-07,8.25034839708983e-08,2.35778929997596e-07,8.85948736118451e-08
96.5260517178359,4.17005751521677e-09,1.1584927022066e-09,2.49364140934312e-08,4.75844316470183e-09,2.53100116271691e-08,4.49473792065283e-08,1.46071984040936e-08,1.46316606410657e-07,1.47338916659078e-07,8.24152990840233e-08,2.35532977192639e-07,8.85010342982237e-08
96.6761699942244,4.16569986518663e-09,1.15742632462044e-09,2.49101372183195e-08,4.7534035690251e-09,2.52852299294129e-08,4.48991089874452e-08,1.45892971130177e-08,1.46165497358265e-07,1.47183566101389e-07,8.23305853814509e-08,2.35289845793711e-07,8.84102092378615e-08
96.8262882706129,4.16134393280177e-09,1.15640872683554e-09,2.48841382579515e-08,4.7494227027262e-09,2.52605425730443e-08,4.48503293255604e-08,1.45742880815173e-08,1.46011653367848e-07,1.47029226915619e-07,8.22470078154966e-08,2.35045285934593e-07,8.83179793120428e-08
96.9764065470015,4.15701398349895e-09,1.155356250664e-09,2.48584168452028e-08,4.74596852544115e-09,2.5235125551379e-08,4.48032463793588e-08,1.45618948900392e-08,1.45859019596943e-07,1.46879089353234e-07,8.21604242839677e-08,2.34801186828886e-07,8.8225321266876e-08
97.1265248233901,4.15271210828876e-09,1.15431498078228e-09,2.48329748466966e-08,4.74254112805101e-09,2.52086971849218e-08,4.47583951654528e-08,1.45492059748004e-08,1.45710310480246e-07,1.4673005736486e-07,8.2074488959249e-08,2.34560820528048e-07,8.81356218242345e-08
97.2766430997786,4.14841179911389e-09,1.15324593600967e-09,2.48078040235633e-08,4.7385196081982e-09,2.51814196245316e-08,4.4714701289725e-08,1.45336344398177e-08,1.45563280480201e-07,1.46578231651403e-07,8.19921786419547e-08,2.34320730451572e-07,8.80445912848602e-08
97.4267613761672,4.14413731975773e-09,1.15211350315794e-09,2.47828327203544e-08,4.73354493441601e-09,2.51540795729098e-08,4.46699515478177e-08,1.45159162156729e-08,1.45413852743617e-07,1.4642587117165e-07,8.19088589132348e-08,2.34079361993825e-07,8.79531015423944e-08
97.5768796525557,4.13989020289411e-09,1.15097713093177e-09,2.47580269295473e-08,4.72775897299903e-09,2.51274011758832e-08,4.46233921231192e-08,1.44990051328498e-08,1.45262951626335e-07,1.46277134010707e-07,8.18231867695302e-08,2.33840841536859e-07,8.78645132132094e-08
97.7269979289442,4.13564450883355e-09,1.1497576156085e-09,2.47333095766709e-08,4.72141289864892e-09,2.51019402158627e-08,4.45758400250421e-08,1.4485163639514e-08,1.45114713525017e-07,1.46131012540443e-07,8.17399848742836e-08,2.33604712165166e-07,8.77746666341027e-08
97.8771162053328,4.13142430302099e-09,1.14849700441991e-09,2.47086179363564e-08,4.71526609430526e-09,2.50775838444428e-08,4.45294690951684e-08,1.44732313303322e-08,1.44970004583605e-07,1.45982916361331e-07,8.16591526259961e-08,2.33367124645584e-07,8.76843316080329e-08
98.0272344817213,4.12723100477675e-09,1.14722107575293e-09,2.46839228954967e-08,4.70969195005284e-09,2.5053777583305e-08,4.44852281187842e-08,1.44602648214496e-08,1.44825183342547e-07,1.45832982367989e-07,8.15760274079436e-08,2.33130354536125e-07,8.75968398812428e-08
98.1773527581099,4.12303924858308e-09,1.14586369818025e-09,2.46591579161284e-08,4.70511331710783e-09,2.50297339566953e-08,4.44425533537075e-08,1.44443516727743e-08,1.44677672656424e-07,1.45685611487863e-07,8.14919887006763e-08,2.32897109746531e-07,8.75081635622813e-08
98.3274710344984,4.11887251608772e-09,1.14452331667193e-09,2.46343466474264e-08,4.70136402957329e-09,2.50048229500514e-08,4.43993475965747e-08,1.44270350912378e-08,1.44530358025115e-07,1.45541736991386e-07,8.1411367732313e-08,2.32663813192902e-07,8.74189677789142e-08
98.477589310887,4.11473195323698e-09,1.14316909101075e-09,2.46094840467714e-08,4.69805418871257e-09,2.49789944096643e-08,4.43544838461934e-08,1.44111978526959e-08,1.4438648973041e-07,1.4539729778167e-07,8.13313538396038e-08,2.32429527524334e-07,8.73325605440167e-08
98.6277075872755,4.11059306085758e-09,1.14178885075859e-09,2.45845865887235e-08,4.69466582465213e-09,2.49526029435728e-08,4.43082795238801e-08,1.43983742997653e-08,1.44245078177096e-07,1.45250274472415e-07,8.12485746474467e-08,2.32198212306062e-07,8.72450399179754e-08
98.7778258636641,4.10647923018168e-09,1.1404782583146e-09,2.45597510689913e-08,4.69057689278954e-09,2.49264812427898e-08,4.42627111178241e-08,1.43866858338456e-08,1.44101983599854e-07,1.45104409479442e-07,8.11668933218233e-08,2.31968857027568e-07,8.71569675471916e-08
98.9279441400526,4.10239123700959e-09,1.13916362617019e-09,2.45349794932898e-08,4.68570981669882e-09,2.49012010210617e-08,4.42190572156999e-08,1.43733587728902e-08,1.43956971931822e-07,1.44962294732535e-07,8.10883037388269e-08,2.31738077723706e-07,8.70716355563354e-08
99.0780624164412,4.09830473486879e-09,1.13789249746095e-09,2.4510363014232e-08,4.67999496626364e-09,2.48771208867621e-08,4.41772367224463e-08,1.43572559397463e-08,1.4381360993994e-07,1.44821112168406e-07,8.10085401302499e-08,2.31508445487048e-07,8.69852524487876e-08
