f,amplitude_ 1,amplitude_ 2,amplitude_ 3,amplitude_ 4,amplitude_ 5,amplitude_ 6,amplitude_ 7,amplitude_ 8,amplitude_ 9,amplitude_10,amplitude_11,amplitude_12
51.565627939466,2.11790569654608e-10,2.12839183981325e-10,8.80034516411169e-10,8.11931704902253e-10,4.88239775157106e-10,7.68615158959118e-10,1.08616643312802e-09,9.93223467059785e-10,4.5552500079036e-10,3.90872185170235e-10,9.66749541634257e-10,1.27859759197242e-09
51.6406870776602,2.05545580409217e-10,2.08159132193079e-10,8.50642143072873e-10,8.12073419974132e-10,4.88577434380212e-10,5.37314739564045e-10,1.02868999431896e-09,1.01115974586453e-09,3.53263065135274e-10,3.27971802311649e-10,1.3360350337835e-09,8.52113225452079e-10
51.7157462158545,2.06758509939506e-10,2.1101984122087e-10,8.23671856459664e-10,8.25999842140612e-10,4.85852743687335e-10,2.66950349847904e-10,9.70090444823189e-10,1.04853675916008e-09,2.42169680926227e-10,2.85048005636293e-10,1.06368483095564e-09,1.14349717651121e-09
51.7908053540488,2.01579745642057e-10,2.07229708992182e-10,7.69209819775814e-10,8.13115155362181e-10,3.81457922596956e-10,5.24331826925639e-11,9.30068674593497e-10,9.98015655110786e-10,1.77126962577284e-10,2.04221832607986e-10,1.00803323112219e-09,1.16714128174061e-09
51.8658644922431,1.97572026186003e-10,2.0398170671707e-10,7.02796590555709e-10,7.73575266733533e-10,1.91200860350677e-10,1.90759339861173e-10,9.11772824563348e-10,8.75224248125198e-10,1.55136645500614e-10,1.28090664038449e-10,1.11968434795733e-09,1.06004956673898e-09
51.9409236304373,2.03169722298817e-10,2.10049618146812e-10,6.56014310131717e-10,7.32157257150183e-10,1.34619078372356e-10,2.58249471265882e-10,8.80874258804695e-10,7.78310335497797e-10,1.7046582394522e-10,1.16867510325014e-10,1.06484380133246e-09,1.1146559218387e-09
52.0159827686316,2.01217611122492e-10,2.08029201093051e-10,6.03627028016199e-10,6.59635724310207e-10,3.7041537157229e-10,2.16583615737296e-10,7.61234213887749e-10,7.15886403661854e-10,2.20003372970949e-10,1.86405675271242e-10,1.20397625637349e-09,9.61932065352701e-10
52.0910419068259,1.98542936171214e-10,2.04768931761589e-10,5.48283459743522e-10,5.64664628027483e-10,5.45247605265799e-10,2.26697107974393e-10,6.00990370861175e-10,6.58432377408441e-10,2.51205046913392e-10,2.89931311022316e-10,1.02459904288981e-09,1.17498035505983e-09
52.1661010450202,2.07134388306678e-10,2.12383771521792e-10,5.04122554670936e-10,4.72334507659228e-10,6.32387288912244e-10,4.38626513215379e-10,4.87638923487689e-10,5.62320320984302e-10,3.22449217610949e-10,3.78973219360609e-10,9.2790203946486e-10,1.27754320267146e-09
52.2411601832144,2.08067822641135e-10,2.11865092053479e-10,4.49699537265415e-10,3.77677688212083e-10,6.20050461183406e-10,6.98044610786199e-10,4.12645424393366e-10,3.96688346006498e-10,4.36610884196847e-10,4.18453012843926e-10,1.38176003517262e-09,7.93204956649896e-10
52.3162193214087,2.05322256624845e-10,2.07676206915691e-10,3.86831340058147e-10,3.04939403522469e-10,5.88430221239814e-10,8.88200263308194e-10,3.26842318250928e-10,2.27585633661305e-10,5.08078225528101e-10,4.60468917714284e-10,1.13885308085193e-09,1.14780222424938e-09
52.391278459603,2.14133619810476e-10,2.149121096712e-10,3.25242983264373e-10,2.79213527744809e-10,6.82578563181595e-10,9.93190357649141e-10,2.00658121591419e-10,1.12086788593781e-10,5.38400406025067e-10,5.61901740452401e-10,7.15345179454287e-10,1.47731335787746e-09
52.4663375977972,2.16368969610555e-10,2.15379705266574e-10,2.67340971700869e-10,2.91753923585163e-10,8.78569414605202e-10,9.76701641041003e-10,1.09406416421471e-10,4.24768369837007e-11,5.70787251024049e-10,6.27932939974013e-10,1.43665846783571e-09,8.26043626009773e-10
52.5413967359915,2.12924258703619e-10,2.10573390622561e-10,2.50450027900653e-10,3.28819633603083e-10,1.05910291192443e-09,8.86075928530121e-10,1.70894152362149e-10,1.20898334286641e-10,6.33858328538608e-10,6.18898564735545e-10,1.34859613258063e-09,9.89075196062769e-10
52.6164558741858,2.19443970379105e-10,2.15897275172261e-10,2.99290225048671e-10,3.82442800077274e-10,1.1760770290449e-09,8.53658732161058e-10,2.4970369588854e-10,2.84191207546971e-10,6.86350462580392e-10,6.33490726701997e-10,5.75803864544687e-10,1.58328169042404e-09
52.6915150123801,2.20223762455738e-10,2.1563274233111e-10,3.79371661082679e-10,4.24368867416299e-10,1.16089104528145e-09,9.23708875459652e-10,3.36102635257122e-10,4.39103350898136e-10,6.6586951006775e-10,6.82600079235411e-10,1.34257735443032e-09,1.02601683685239e-09
52.7665741505744,2.14778249103899e-10,2.09685449724494e-10,4.62231455686449e-10,4.56825798849455e-10,1.03177328452234e-09,1.04593308286246e-09,4.62909986067849e-10,5.20433393047287e-10,6.38251697539792e-10,6.9206881540999e-10,1.50383970097496e-09,7.70059199790842e-10
52.8416332887686,2.17074888936236e-10,2.11841810838163e-10,5.55242663478074e-10,5.07162643620345e-10,8.94126354280431e-10,1.14994663234733e-09,6.232979140965e-10,5.76457762898693e-10,6.71252792268675e-10,6.55255575775401e-10,6.65790608593291e-10,1.54461406272107e-09
52.9166924269629,2.1448144836277e-10,2.09493676219335e-10,6.29114822252464e-10,5.57878391345173e-10,8.21946557912627e-10,1.13775594111169e-09,7.34990363651973e-10,6.52843482895026e-10,6.68308715809179e-10,6.10690083184444e-10,1.13976557349725e-09,1.2212474722546e-09
52.9917515651572,2.07363214944949e-10,2.03044849069002e-10,6.717617955266e-10,6.04144754409484e-10,8.57297004783807e-10,1.00239924193685e-09,7.61111848846814e-10,7.5980339637181e-10,5.95518588060527e-10,6.04577130244891e-10,1.5265693543902e-09,6.43790679562198e-10
53.0668107033514,2.0649907233713e-10,2.03243900132116e-10,7.0981194401356e-10,6.68037579171394e-10,9.35844554211682e-10,8.08179403521957e-10,7.86753597126757e-10,8.7578987580317e-10,5.37589497070598e-10,5.88007890510428e-10,8.75918730400778e-10,1.37901577003666e-09
53.1418698415457,2.00733108214946e-10,1.9888333041218e-10,7.25183941754356e-10,7.24060522185156e-10,9.32130461497578e-10,6.1394443364641e-10,8.47808956393751e-10,9.1850863804201e-10,5.16275502630844e-10,4.99754511560438e-10,9.39009478071144e-10,1.30712131206194e-09
