f,amplitude_1,amplitude_2,amplitude_3
0,0.00394518192491131,0.00339660501359869,0.00209465376061066
0.0750591381942736,0.006297581013035,0.00760594157628296,0.00380315744960448
0.150118276388547,0.00268549784570879,0.00456769834705954,0.00282253890855558
0.225177414582821,0.000338697930637741,0.000655532396245239,0.0017286416285347
0.300236552777094,0.00111175688156786,0.00213968987366094,0.00115963640063572
0.375295690971368,0.000423153237641965,0.000722562999540366,0.00114523489114109
0.450354829165642,0.000149823481109603,0.000128945930364046,0.00102261744940748
0.525413967359915,0.000155476241060469,0.000254416508213583,0.00065903331251705
0.600473105554189,3.56077945333642e-05,0.000188692735957132,0.000246465429967647
0.675532243748462,2.29640113567146e-06,3.31203001182285e-05,0.000169740286710061
0.750591381942736,1.07619159578829e-05,2.49784090965561e-05,0.000271318563220624
0.82565052013701,4.1184086502096e-06,3.71559721219996e-05,0.000225843942678638
0.900709658331283,7.30741665707163e-06,2.12308710702043e-05,0.00014876239060592
0.975768796525557,8.82684167612464e-06,3.8849739932353e-05,0.00019895605496797
1.05082793471983,8.91054073483437e-06,5.1655313308546e-05,0.000264204373112378
1.1258870729141,4.56698922207796e-06,7.62297686874746e-05,0.00026914005187962
1.20094621110838,4.24485448528715e-05,0.000166854022350395,0.000210737513047179
1.27600534930265,0.000119898685713493,0.000486225566496343,0.000121535590842543
1.35106448749692,0.000137662712547656,0.000338593706782679,5.97177388088733e-05
1.4261236256912,9.9981991577961e-05,0.000721984479164241,7.01078955347671e-05
1.50118276388547,1.96438075257276e-05,0.000223713465061797,8.25541529454528e-05
1.57624190207975,2.73380617425753e-05,0.000106352038593327,7.72814888655642e-05
1.65130104027402,2.08891666780972e-05,4.74100713333683e-05,6.32470349751427e-05
1.72636017846829,1.71238660373471e-05,3.50299476548996e-05,4.5975409873868e-05
1.80141931666257,4.3955837459901e-05,3.69474516436613e-05,2.823948164883e-05
1.87647845485684,2.45095742743873e-05,1.8533641511236e-05,1.37802694072333e-05
1.95153759305111,4.78205320221367e-05,2.69194539574657e-05,7.76428336600778e-06
2.02659673124539,2.86208498827384e-05,1.17318255172691e-05,8.57777796368998e-06
2.10165586943966,1.05445972378154e-05,1.5712826797309e-05,7.71751283103122e-06
2.17671500763393,4.15696821003492e-06,9.96411193107958e-06,4.65470425040407e-06
2.25177414582821,1.0430998219072e-06,1.03420565100137e-05,1.37199553791571e-06
2.32683328402248,2.31833989389969e-06,1.24177692267932e-05,7.57508715179506e-07
2.40189242221676,9.24527808089893e-07,8.98514107219083e-06,1.20378656778821e-06
2.47695156041103,3.04331301636462e-07,1.01883059316773e-05,9.72593718912173e-07
2.5520106986053,1.16749134976585e-06,6.72626622450319e-06,1.0002322944594e-06
2.62706983679958,1.22198448055086e-06,6.8217297141895e-06,1.20862755311946e-06
2.70212897499385,2.48575727916231e-06,4.9942607822538e-06,1.51316089416186e-06
2.77718811318812,2.36450870775591e-06,6.34030233410047e-06,1.90603295412987e-06
2.8522472513824,2.95385811194551e-07,5.3774346998927e-06,1.8657161070438e-06
2.92730638957667,3.16762110826248e-06,4.60756563530267e-06,9.37445338114687e-07
