t       ,       ub_mid  ,       ub_quart
  0.0000000000000000,         0.0000000000000000,         0.0000000000000000
  0.0264698824094073,         0.0000000507187983,         0.0000007112580667
  0.0529397648188145,         0.0000007589784589,         0.0000030162129451
  0.0794096472282217,         0.0000055397065044,        -0.0000043154289121
  0.1058795296376290,         0.0000248508486774,        -0.0000567452486607
  0.1323494120470363,         0.0000748595107796,        -0.0001804174608903
  0.1588192944564435,         0.0001606982554686,        -0.0003533805930797
  0.1852891768658508,         0.0002602657852540,        -0.0005543369472191
  0.2117590592752580,         0.0003409543489766,        -0.0008002066520268
  0.2382289416846653,         0.0003950135561610,        -0.0010858387329766
  0.2646988240940725,         0.0004404608583575,        -0.0013858006819585
  0.2911687065034798,         0.0004844166229813,        -0.0017058237274385
  0.3176385889128870,         0.0005102862148548,        -0.0020442383486329
  0.3441084713222943,         0.0005135479333283,        -0.0023852344439668
  0.3705783537317015,         0.0005143287128389,        -0.0027373126554373
  0.3970482361411088,         0.0005226568026647,        -0.0031041943055172
  0.4235181185505160,         0.0005409855618621,        -0.0034769970041726
  0.4499880009599233,         0.0005826692253868,        -0.0038523782912987
  0.4764578833693305,         0.0006377495159368,        -0.0042109090868157
  0.5029277657787378,         0.0006734878261815,        -0.0045210242535612
  0.5293976481881451,         0.0006860662187299,        -0.0047689197420044
  0.5558675305975522,         0.0006924938138238,        -0.0049566966179746
  0.5823374130069595,         0.0006967230710934,        -0.0050963585009765
  0.6088072954163668,         0.0006931450505906,        -0.0051995112847987
  0.6352771778257740,         0.0006720259424859,        -0.0052516133807187
  0.6617470602351813,         0.0006339006701536,        -0.0052391436691981
  0.6882169426445885,         0.0005953657234510,        -0.0051815768179797
  0.7146868250539958,         0.0005678748554228,        -0.0051141858719261
  0.7411567074634030,         0.0005580485940076,        -0.0050634873996946
  0.7676265898728103,         0.0005712667969694,        -0.0050291933193285
  0.7940964722822176,         0.0006024080288661,        -0.0050054719921586
  0.8205663546916248,         0.0006339245976861,        -0.0050076430744934
  0.8470362371010320,         0.0006525560130123,        -0.0050547928233427
  0.8735061195104393,         0.0006661814081724,        -0.0051402644805598
  0.8999760019198465,         0.0006766621499089,        -0.0052498267014894
  0.9264458843292538,         0.0006614369439365,        -0.0053831255842635
  0.9529157667386611,         0.0006010119880329,        -0.0055415807977952
  0.9793856491480682,         0.0005095377600806,        -0.0057301793047191
  1.0058555315574755,         0.0004240845213084,        -0.0059607668126626
