f,amplitude_1,amplitude_2
0,0.000995232909625164,0.000848463146745572
0.10521324384585,0.00190825032115492,0.00273344382959954
0.2104264876917,0.00160250515617562,0.0031280627644856
0.31563973153755,0.00107291841644063,0.00203381481058739
0.4208529753834,0.000517092046063657,0.000669464961236638
0.526066219229251,0.000154600588798536,0.000296489335468917
0.631279463075101,2.38329816664594e-05,0.000180450690857525
0.736492706920951,1.6358024499236e-05,2.51963636360409e-05
0.841705950766801,1.0102171801154e-05,3.31354256817002e-05
0.946919194612651,1.32401062360811e-05,5.81936895669903e-05
1.0521324384585,1.36767557190055e-05,7.47931168256641e-05
1.15734568230435,1.49324082361497e-05,5.01530407119152e-05
1.2625589261502,2.71806778453323e-05,0.000187703814502862
1.36777216999605,4.34500165740057e-05,0.000554186234871658
1.4729854138419,2.84198683030284e-05,0.000311335476656425
1.57819865768775,2.08254594743006e-05,0.000115799624921799
1.6834119015336,1.78869618083646e-05,9.78290566983256e-05
1.78862514537945,2.15350856106772e-05,8.48650710444718e-05
1.8938383892253,0.000146146423567337,8.03369589446568e-05
1.99905163307115,3.98556005348757e-05,2.26576152085156e-05
2.104264876917,2.13643443305352e-05,4.22042760603656e-06
2.20947812076285,1.4088225204085e-05,4.52266149527904e-06
2.3146913646087,4.81562603666973e-06,6.83457267368727e-06
2.41990460845455,6.45997483556894e-06,7.58871093553795e-06
2.5251178523004,5.43986671552915e-06,5.90658259833379e-06
2.63033109614625,6.57495255559794e-06,4.5984860870472e-06
2.7355443399921,6.54441664915635e-06,4.47136962848739e-06
2.84075758383795,9.18378079519436e-06,5.92184078715885e-06
2.9459708276838,1.78316418779014e-05,1.40459657951185e-05
3.05118407152965,4.57723154762997e-05,3.59554485519511e-05
3.1563973153755,4.5397660755074e-05,3.87168200706342e-05
3.26161055922135,1.64998618188365e-05,1.55279722420891e-05
3.3668238030672,1.01571572780143e-05,1.18275801969098e-05
3.47203704691305,7.87056305694087e-06,1.14008492460794e-05
3.5772502907589,3.61321609926596e-06,8.71422051585975e-06
3.68246353460475,4.32615926246791e-06,7.66676458877045e-06
3.7876767784506,2.7425326960984e-06,5.2645805448082e-06
3.89289002229645,2.26466837006194e-06,3.46494024687023e-06
3.9981032661423,1.56395165751308e-06,2.69635150574937e-06
4.10331650998815,1.20716513793475e-06,2.52917104593501e-06
4.208529753834,9.23181149258095e-07,2.2558735312395e-06
4.31374299767985,6.22992181479289e-07,1.81569070119217e-06
4.4189562415257,3.6304231322753e-07,1.4855566427917e-06
4.52416948537156,2.30718600810953e-07,1.71262861665776e-06
4.62938272921741,5.89448585302818e-07,1.8020706982746e-06
4.73459597306325,1.1176933553819e-06,2.3311379623359e-06
4.8398092169091,1.26505941979505e-06,2.20945660476242e-06
4.94502246075495,6.75852779992239e-06,1.30092133642325e-05
5.05023570460081,1.81494640408169e-06,3.2643182346888e-06
5.15544894844666,1.44926437804491e-06,1.11192900937465e-06
5.26066219229251,1.50690887328328e-06,2.3459060867909e-06
5.36587543613836,7.59612156041572e-07,1.94911288920434e-06
5.4710886799842,1.15119852454471e-06,2.07852023971838e-06
5.57630192383006,9.85242023664639e-07,1.67693711416419e-06
5.68151516767591,9.43762617191412e-07,1.99781884219111e-06
5.78672841152176,1.00952677651106e-06,1.55847595792221e-06
5.89194165536761,7.43133816638068e-07,1.54878936665148e-06
5.99715489921346,6.27267117207421e-07,1.37127551683434e-06
6.10236814305931,6.14359278652271e-07,1.26869806997895e-06
6.20758138690516,1.27545351187477e-06,1.57903231725564e-06
6.31279463075101,7.31950251866327e-07,1.41109101825167e-06
6.41800787459686,4.88939371313706e-07,1.6260130713143e-06
6.52322111844271,4.02892048643876e-07,1.54777309973783e-06
6.62843436228856,8.18187615741038e-07,1.77323664888219e-06
6.73364760613441,7.33647720011236e-07,1.77571176792004e-06
6.83886084998026,1.45451556204406e-06,2.3743050619107e-06
6.94407409382611,8.91490600430734e-07,1.93483013536418e-06
7.04928733767196,2.11494575551571e-06,2.7741373825044e-06
7.15450058151781,2.15561458903775e-06,2.82830932563654e-06
7.25971382536366,6.80661045731082e-06,5.10732897156772e-06
7.36492706920951,8.39666009170564e-07,1.15572781450467e-06
7.47014031305536,4.06526866509793e-07,8.92360411544132e-07
7.57535355690121,6.01855683858143e-07,1.24996918642959e-06
7.68056680074706,7.13994163789808e-07,1.25259948616105e-06
7.78578004459291,7.89019555538248e-07,1.23401302776275e-06
7.89099328843876,8.14463276090156e-07,1.18922252301642e-06
7.99620653228461,8.33475819310711e-07,1.11736902815677e-06
8.10141977613046,8.02687799823489e-07,1.12690014074852e-06
8.20663301997631,7.47627118321128e-07,1.081974455722e-06
8.31184626382216,6.88212150225876e-07,1.12825807393799e-06
8.41705950766801,6.41131853047773e-07,1.01884486419678e-06
8.52227275151386,5.42359574057525e-07,1.06275011712789e-06
8.62748599535971,4.9770099896204e-07,9.66739256023889e-07
8.73269923920556,4.39425834325055e-07,1.07030008417712e-06
8.83791248305141,4.01139936991717e-07,1.1665264358517e-06
8.94312572689726,3.24203924919296e-07,1.15856898766902e-06
9.04833897074311,3.21339029748982e-07,1.0969035746221e-06
9.15355221458896,3.6307395616445e-07,1.05785102180043e-06
9.25876545843481,4.41233320724845e-07,8.53797220613864e-07
9.36397870228066,6.37488843968406e-07,3.40571715649499e-07
9.46919194612651,2.75292035298797e-07,1.764495929247e-06
9.57440518997236,3.33938654862574e-07,1.36058891765165e-06
9.67961843381821,3.66262399324998e-07,1.21350613406129e-06
9.78483167766406,4.08731841000076e-07,1.09157299285517e-06
9.89004492150991,4.1816682173849e-07,1.01088860647866e-06
9.99525816535576,4.13907376364607e-07,9.49476042274374e-07
10.1004714092016,4.21886708058944e-07,8.41082380916643e-07
10.2056846530475,3.87967478327556e-07,8.44532923996739e-07
10.3108978968933,3.47013684809554e-07,7.91535715210459e-07
10.4161111407392,3.42553297213259e-07,7.61284088106154e-07
10.521324384585,3.30573939962851e-07,7.32330538103575e-07
10.6265376284309,3.25247925764647e-07,7.48341270605413e-07
10.7317508722767,2.51155962920721e-07,7.45873080418978e-07
10.8369641161226,3.19089087836983e-07,8.22328636078715e-07
10.9421773599684,3.6630457634142e-07,7.5986835820156e-07
11.0473906038143,4.29353897398188e-07,7.16757102827979e-07
11.1526038476601,5.77451877987128e-07,6.55253066770358e-07
11.257817091506,1.00562770119944e-06,1.25010694839281e-06
11.3630303353518,1.35388932524495e-07,1.06698461954478e-06
11.4682435791977,1.51235983242647e-07,9.07638866243717e-07
11.5734568230435,2.64930417600483e-07,8.3994669031783e-07
11.6786700668894,2.74442025850521e-07,7.76265085814015e-07
11.7838833107352,2.95351700340995e-07,7.74037176911021e-07
11.8890965545811,3.81175370830931e-07,6.87621667288804e-07
11.9943097984269,3.88650694156955e-07,6.46716843787751e-07
12.0995230422728,3.88959244643674e-07,6.19056288560474e-07
12.2047362861186,3.93463692804258e-07,6.16239487485884e-07
12.3099495299645,3.94845576162676e-07,6.13761095165547e-07
12.4151627738103,3.78991014021177e-07,6.24787633050507e-07
12.5203760176562,3.64662860204995e-07,6.35979460119059e-07
12.625589261502,3.00087602266112e-07,6.44419796507395e-07
12.7308025053479,3.23634211677084e-07,6.79342806842708e-07
12.8360157491937,3.09560862142141e-07,7.0172678614822e-07
12.9412289930396,2.71686274340415e-07,7.2509356709623e-07
13.0464422368854,3.64209131873506e-07,6.59819655402673e-07
13.1516554807313,3.03650024131654e-07,6.91512225051184e-07
13.2568687245771,3.03401992978498e-07,6.7755284475649e-07
13.362081968423,3.14923511782989e-07,6.50807257975573e-07
13.4672952122688,3.01906361928086e-07,6.38521719916099e-07
13.5725084561147,3.30138244948755e-07,5.92193688317655e-07
13.6777216999605,3.44691115116588e-07,5.52225164189707e-07
13.7829349438064,3.35727956138108e-07,5.50732624677459e-07
13.8881481876522,4.48793099804805e-07,4.65126852557291e-07
13.9933614314981,6.89095760653009e-07,3.03100272969457e-07
14.0985746753439,1.9710510649502e-07,6.34281580377584e-07
14.2037879191898,2.69378819518874e-07,5.77598458593401e-07
14.3090011630356,2.77164017326389e-07,5.83743076064984e-07
14.4142144068815,3.02644238022867e-07,5.89818794936208e-07
14.5194276507273,3.304561356923e-07,6.17742667797048e-07
14.6246408945732,2.93167268230747e-07,5.80207055500163e-07
14.729854138419,2.60084370861901e-07,5.75430618822575e-07
14.8350673822649,2.70649277838422e-07,5.47383238919186e-07
14.9402806261107,2.82884932267719e-07,4.78043089583309e-07
15.0454938699566,2.7186240189102e-07,5.60194926977837e-07
15.1507071138024,2.78447484307619e-07,4.89397546657658e-07
15.2559203576483,4.10999503196722e-07,3.26775623253165e-07
15.3611336014941,3.04154061820772e-07,3.77282544257457e-07
15.46634684534,2.32827344640507e-07,5.28758950880612e-07
15.5715600891858,2.81556682424324e-07,5.76514994136125e-07
15.6767733330317,2.44612208615626e-07,5.36907078322918e-07
15.7819865768775,2.46525873746117e-07,5.3639417155018e-07
15.8871998207234,2.57219222313324e-07,5.33369352342179e-07
15.9924130645692,2.72034599628129e-07,5.27174489712281e-07
16.0976263084151,2.61727281695109e-07,5.35211163174689e-07
16.2028395522609,2.66414860894109e-07,5.25137549959942e-07
16.3080527961068,2.7782980184346e-07,5.27758143013288e-07
16.4132660399526,2.96447460409307e-07,5.34781897789559e-07
16.5184792837985,1.87063524492133e-07,2.44697034401247e-07
16.6236925276443,1.14701456944164e-07,3.17336331711774e-07
16.7289057714902,1.79962574302965e-07,4.23177656676853e-07
16.834119015336,2.17073024708627e-07,4.68479123678705e-07
16.9393322591819,2.3049662491338e-07,4.7780454218416e-07
17.0445455030277,2.39316616967463e-07,4.89417454120306e-07
17.1497587468736,2.39530220021833e-07,4.66699763568157e-07
17.2549719907194,2.56504611939647e-07,3.95280437351037e-07
17.3601852345653,2.45559584463482e-07,4.90480705490545e-07
17.4653984784111,2.47494222620262e-07,4.48015387448123e-07
17.570611722257,2.33586346750901e-07,5.36622932646028e-07
17.6758249661028,2.3335753288797e-07,4.87898856941345e-07
17.7810382099487,2.24174078892544e-07,4.6456591854477e-07
17.8862514537945,2.21003465475704e-07,4.41508174359497e-07
17.9914646976404,2.29355691565702e-07,3.93417952330628e-07
18.0966779414862,2.34945917721931e-07,3.993948874432e-07
18.2018911853321,2.22420916356348e-07,4.12128012484251e-07
18.3071044291779,2.19676076051542e-07,4.24079651594099e-07
18.4123176730238,2.18220562484011e-07,4.3785103261576e-07
18.5175309168696,2.18760239799386e-07,4.5783267936828e-07
18.6227441607155,2.30647969470963e-07,4.87493004898668e-07
18.7279574045613,2.40031331235291e-07,5.29196703482781e-07
18.8331706484072,2.73958008283914e-07,6.06332924707337e-07
18.938383892253,3.333934312491e-07,7.33472106779915e-07
19.0435971360989,2.51749848269699e-07,5.10741065102013e-07
19.1488103799447,2.26053320423802e-07,4.67663406834254e-07
19.2540236237906,2.23263987578744e-07,4.5384447622905e-07
19.3592368676364,2.20089337176944e-07,4.4712495189915e-07
19.4644501114823,2.16787533846091e-07,4.45562750761953e-07
19.5696633553281,2.15850712133953e-07,4.35475630962837e-07
19.674876599174,2.13233642891484e-07,4.28607395015889e-07
19.7800898430198,2.39510089865559e-07,5.07086821983541e-07
19.8853030868657,2.51340656241415e-07,5.25093873041166e-07
19.9905163307115,2.35471742601188e-07,4.75696535313932e-07
20.0957295745574,2.28994543057307e-07,4.56386794071502e-07
20.2009428184032,2.22718490433555e-07,4.37387907783428e-07
20.3061560622491,2.11450935246226e-07,4.31251813698709e-07
20.4113693060949,1.99751821696581e-07,4.46939655070345e-07
20.5165825499408,1.76275193263557e-07,4.54308275212371e-07
20.6217957937866,1.7673196916756e-07,4.48395442565753e-07
20.7270090376325,2.03552389303765e-07,4.11618995115802e-07
20.8322222814783,1.95525270867625e-07,4.20510218100217e-07
20.9374355253242,2.04079023639455e-07,4.11400694946048e-07
21.04264876917,1.97809255974843e-07,4.15595677356014e-07
21.1478620130159,2.00614820992844e-07,4.11960985040339e-07
21.2530752568617,2.03922561046167e-07,4.10623906003218e-07
21.3582885007076,2.22318574814347e-07,4.02835941637443e-07
21.4635017445534,2.36621914007249e-07,3.98767479046853e-07
21.5687149883993,2.29437928397485e-07,4.08987033487854e-07
21.6739282322451,1.72083778327805e-07,4.68503090833193e-07
