timestep:         0.0211776000000000
yAxisLabel:deflection [m]       
title:bridge deflection 
ub_mid  ,       ub_quart
  0.0000000000000000,         0.0000000000000000
 -0.0000000203576697,         0.0000001793256812
 -0.0000000956932431,         0.0000017270919988
  0.0000001350230293,         0.0000060458324323
  0.0000023157509251,         0.0000057182616834
  0.0000095115978910,        -0.0000194592872789
  0.0000251946527737,        -0.0000719678391002
  0.0000523862083636,        -0.0001249289784269
  0.0000912710186183,        -0.0001836836649916
  0.0001352146054728,        -0.0002811516523181
  0.0001752059589246,        -0.0003975899067248
  0.0002124834365267,        -0.0005129100765848
  0.0002552461762819,        -0.0006551687178949
  0.0002991214001212,        -0.0008206694969688
  0.0003313661535589,        -0.0009944687960718
  0.0003548874680157,        -0.0011887045649170
  0.0003795703455995,        -0.0013921595312189
  0.0003984065026917,        -0.0015973956815332
  0.0004012958937358,        -0.0018168182373245
  0.0003929199583388,        -0.0020414768736547
  0.0003799531443312,        -0.0022649607970423
  0.0003638713488804,        -0.0025004636150552
  0.0003469943551677,        -0.0027507159599032
  0.0003313416915419,        -0.0030084447846261
  0.0003174217490139,        -0.0032745227149830
  0.0003041727100346,        -0.0035475317060762
  0.0002882913241203,        -0.0038181728469452
  0.0002694540491367,        -0.0040814740649995
  0.0002521458328926,        -0.0043329674795446
  0.0002391192067860,        -0.0045658682451108
  0.0002286781558546,        -0.0047763388624462
  0.0002187544610001,        -0.0049601166610765
  0.0002093369841775,        -0.0051156416158095
  0.0002005675791049,        -0.0052552657963373
  0.0001927366209224,        -0.0053925387666933
  0.0001915437583064,        -0.0055196153278767
  0.0002073904429903,        -0.0056299803088133
  0.0002419394392532,        -0.0057332503708328
  0.0002823398837833,        -0.0058263102232857
  0.0003165543727866,        -0.0059106971463833
  0.0003469785299283,        -0.0060036648560275
  0.0003822876793284,        -0.0061014143773739
  0.0004223578155368,        -0.0062134120577536
  0.0004609017163182,        -0.0063691194808988
  0.0005003438579423,        -0.0065553914995061
  0.0005482675312530,        -0.0067605058772242
  0.0005960298078050,        -0.0069998513972870
  0.0006205067812798,        -0.0072572377562431
  0.0006126769929306,        -0.0075215925873680
  0.0005856264945765,        -0.0078206218691768
  0.0005536404427199,        -0.0081560747137439
  0.0005203359495539,        -0.0085117765309270
  0.0004826011514295,        -0.0089031326047144
  0.0004339216729609,        -0.0093294086315943
  0.0003684534860005,        -0.0097674561966114
  0.0002863270532681,        -0.0102156615638655
  0.0001941541529140,        -0.0106710853856170
  0.0001017091237894,        -0.0111209553125618
  0.0000166533214627,        -0.0115703421762235
 -0.0000575982001405,        -0.0120290796884297
 -0.0001189194897306,        -0.0124868607680129
 -0.0001693114198219,        -0.0129332360431393
 -0.0002195997678474,        -0.0133635091142270
 -0.0002804438836756,        -0.0137635479043330
 -0.0003504317647533,        -0.0141299396608832
 -0.0004183175618262,        -0.0144599436250716
 -0.0004756031198652,        -0.0147355886865348
 -0.0005263429268677,        -0.0149585936173384
 -0.0005803816770929,        -0.0151356145242731
 -0.0006395429071954,        -0.0152617363431096
 -0.0007009577230805,        -0.0153494355429700
 -0.0007646842325287,        -0.0154085239800311
 -0.0008287003465258,        -0.0154333388135382
 -0.0008912352569202,        -0.0154336206035166
 -0.0009596797866145,        -0.0154154573634650
 -0.0010417976439255,        -0.0153740957272572
 -0.0011334932986373,        -0.0153189290065587
 -0.0012271394509428,        -0.0152586741762723
 -0.0013219369957392,        -0.0152045103233255
 -0.0014162365891108,        -0.0151691794108348
 -0.0015016335166612,        -0.0151540414717996
 -0.0015751192781062,        -0.0151649570876174
 -0.0016481401481755,        -0.0152083422243988
 -0.0017370152226004,        -0.0152729549609409
 -0.0018478562517730,        -0.0153524844549319
 -0.0019717454720672,        -0.0154561750866391
 -0.0020954622142283,        -0.0155887225009300
 -0.0022122525315112,        -0.0157522433649038
 -0.0023204219904440,        -0.0159415772691216
 -0.0024216275864855,        -0.0161468377848315
 -0.0025232664148591,        -0.0163651488620377
 -0.0026361254087939,        -0.0165916613167365
 -0.0027624370386070,        -0.0168276242260064
 -0.0028909044940557,        -0.0170757105301697
 -0.0030140492249234,        -0.0173264321544995
 -0.0031357497083798,        -0.0175860199064376
 -0.0032547769769251,        -0.0178566843983512
 -0.0033698700356543,        -0.0181181532909985
 -0.0034899615048480,        -0.0183604673308455
 -0.0036229339617739,        -0.0185720346355458
 -0.0037717624726112,        -0.0187337312144319
 -0.0039296569052651,        -0.0188460548193879
 -0.0040855943062890,        -0.0189131593101917
 -0.0042402222835966,        -0.0189252387606247
 -0.0044011113840544,        -0.0188860791135127
 -0.0045707032524964,        -0.0188006727111311
 -0.0047453835029657,        -0.0186704033004383
 -0.0049176337096811,        -0.0185157279611350
 -0.0050778433978262,        -0.0183413651077527
 -0.0052272097033850,        -0.0181401806680331
 -0.0053586079288233,        -0.0179217992064391
 -0.0054690076056446,        -0.0176791280484679
 -0.0055767480630846,        -0.0174089195766713
 -0.0056860556670345,        -0.0171427516058978
 -0.0057818081272556,        -0.0168847770722516
 -0.0058621018531353,        -0.0166320132422126
 -0.0059364114457186,        -0.0164188196095554
 -0.0059982549981313,        -0.0162395969023012
 -0.0060460702035102,        -0.0160751634008476
 -0.0060961250778750,        -0.0159437539362329
 -0.0061622318897355,        -0.0158303062552485
 -0.0062482237741769,        -0.0157105090936040
 -0.0063466674149726,        -0.0156101774949526
 -0.0064444249099405,        -0.0155425641429510
 -0.0065344800070646,        -0.0154932565548132
 -0.0066196292398595,        -0.0154787578203249
 -0.0067028277087788,        -0.0155026241149558
