f,amplitude
0,0.000687051382671001
0.553342186808322,0.00110839692181709
1.10668437361664,0.000516234612928133
1.66002656042497,2.40375234176207e-05
2.21336874723329,0.000120345439600685
2.76671093404161,5.63783436162899e-06
3.32005312084993,9.71768914758813e-05
3.87339530765826,2.79445615656892e-05
4.42673749446658,0.00020564755489455
4.9800796812749,0.000120804814647224
5.53342186808322,7.34655064341961e-05
6.08676405489155,1.27700628666679e-05
6.64010624169987,1.88849497729912e-05
7.19344842850819,6.87354629358005e-06
7.74679061531651,9.6089097954727e-06
8.30013280212483,4.31258349661095e-06
8.85347498893316,5.86881976134021e-06
9.40681717574148,3.0358579369432e-06
9.9601593625498,3.93612373472052e-06
10.5135015493581,2.27415801675081e-06
11.0668437361664,2.86476970487385e-06
11.6201859229748,1.78389246123762e-06
12.1735281097831,2.16862706824876e-06
12.7268702965914,1.44008290103383e-06
13.2802124833997,1.71875770734244e-06
13.8335546702081,1.19344861444256e-06
14.3868968570164,1.39028808265376e-06
14.9402390438247,1.00603405765477e-06
15.493581230633,1.15857224173519e-06
16.0469234174413,8.62497016856689e-07
16.6002656042497,9.77232962668546e-07
17.153607791058,7.3991560083624e-07
17.7069499778663,8.40907469733182e-07
18.2602921646746,6.57590243962163e-07
18.813634351483,7.30137558869621e-07
19.3669765382913,5.8604136862263e-07
19.9203187250996,6.44480335540611e-07
20.4736609119079,5.16559821053266e-07
21.0270030987162,5.70934228351367e-07
21.5803452855246,4.64238833337886e-07
22.1336874723329,5.12282265803724e-07
22.6870296591412,4.21025606387675e-07
23.2403718459495,4.61763086836401e-07
23.7937140327579,3.82836551285453e-07
24.3470562195662,4.20367612933163e-07
24.9003984063745,3.50405490205632e-07
25.4537405931828,3.8409581183898e-07
26.0070827799911,3.21858997982398e-07
26.5604249667995,3.53976642972649e-07
27.1137671536078,2.97295659432955e-07
27.6671093404161,3.27393793611581e-07
28.2204515272244,2.75464728972088e-07
28.7737937140328,3.05238203349957e-07
29.3271359008411,2.56524445976183e-07
29.8804780876494,2.85801432868517e-07
30.4338202744577,2.3960012685024e-07
30.987162461266,2.69928481806156e-07
31.5405046480744,2.24905504207986e-07
32.0938468348827,2.56664983781506e-07
32.647189021691,2.11857836538003e-07
33.2005312084993,2.47162408443572e-07
33.7538733953077,2.00804883602377e-07
34.307215582116,2.41887136458373e-07
34.8605577689243,1.91593241096256e-07
35.4138999557326,2.4391771686477e-07
35.9672421425409,1.85491120677702e-07
36.5205843293493,2.65348339749522e-07
37.0739265161576,1.86813980470081e-07
37.6272687029659,3.80642424547395e-07
