f,amplitude
0,0.000130349580409594
0.553342186808322,0.00391809958811054
1.10668437361664,0.00497519508227265
1.66002656042497,0.00226580109658129
2.21336874723329,0.00290322509773767
2.76671093404161,0.00615735222581881
3.32005312084993,0.00152452950816934
3.87339530765826,0.00122663910172718
4.42673749446658,0.00152520822463989
4.9800796812749,0.000844546192256016
5.53342186808322,0.00047000285245158
6.08676405489155,0.00046000075063868
6.64010624169987,0.000256217864461882
7.19344842850819,0.000252710611630402
7.74679061531651,0.000209672687403663
8.30013280212483,0.000203653717171135
8.85347498893316,0.000179599696817619
9.40681717574148,0.000172428665231676
9.9601593625498,0.000156928601573692
10.5135015493581,0.000150519897522955
11.0668437361664,0.00013946066470059
11.6201859229748,0.000133990631770019
12.1735281097831,0.000125609247342911
12.7268702965914,0.000120971191796899
13.2802124833997,0.000114358148490276
13.8335546702081,0.000110415014752676
14.3868968570164,0.000105048575944436
14.9402390438247,0.000101704256915766
15.493581230633,9.72360079623762e-05
16.0469234174413,9.44761734011701e-05
16.6002656042497,9.09875762388164e-05
17.153607791058,9.18205037761198e-05
17.7069499778663,8.28200492451705e-05
18.2602921646746,8.07477868651897e-05
18.813634351483,7.8244204713206e-05
19.3669765382913,7.31110242078533e-05
19.9203187250996,7.60504112561398e-05
20.4736609119079,7.35627417716805e-05
21.0270030987162,7.10594763629067e-05
21.5803452855246,6.93837517038367e-05
22.1336874723329,6.73500786678063e-05
22.6870296591412,6.58634694013758e-05
23.2403718459495,6.40980150403659e-05
23.7937140327579,6.27454052147364e-05
24.3470562195662,6.11671633056348e-05
24.9003984063745,5.99330449530503e-05
25.4537405931828,5.85093323939604e-05
26.0070827799911,5.73785584684434e-05
26.5604249667995,5.60860144200097e-05
27.1137671536078,5.50461779764507e-05
27.6671093404161,5.38667350564498e-05
28.2204515272244,5.29074598866859e-05
28.7737937140328,5.18265712387692e-05
29.3271359008411,5.09390620469873e-05
29.8804780876494,4.99447356010923e-05
30.4338202744577,4.91215011350395e-05
30.987162461266,4.82036998099133e-05
31.5405046480744,4.74383763453701e-05
32.0938468348827,4.6588609820672e-05
32.647189021691,4.58759101837964e-05
33.2005312084993,4.50869277122822e-05
33.7538733953077,4.44225416416675e-05
34.307215582116,4.36888535351461e-05
34.8605577689243,4.30721115468672e-05
35.4138999557326,4.23897051294884e-05
35.9672421425409,4.18378319985376e-05
36.5205843293493,4.12418092641341e-05
37.0739265161576,4.04081279861234e-05
37.6272687029659,3.99174217058278e-05
38.1806108897742,3.94041905097714e-05
38.7339530765826,3.88565962068877e-05
39.2872952633909,3.8333972473509e-05
39.8406374501992,3.77797344314232e-05
40.3939796370075,3.75600436836863e-05
40.9473218238158,3.6964619945547e-05
41.5006640106242,3.65096764838835e-05
42.0540061974325,3.60287505657531e-05
42.6073483842408,3.56116869402499e-05
43.1606905710491,3.51635405603171e-05
43.7140327578575,3.47696413913655e-05
44.2673749446658,3.43476647232526e-05
44.8207171314741,3.39741794732598e-05
45.3740593182824,3.35750490296578e-05
45.9274015050907,3.32202257376392e-05
46.4807436918991,3.28420577548009e-05
47.0340858787074,3.25045254480025e-05
47.5874280655157,3.21456764198483e-05
48.140770252324,3.18242455563944e-05
48.6941124391324,3.14832955717082e-05
49.2474546259407,3.11768997686453e-05
49.800796812749,3.08525911573224e-05
50.3541389995573,3.05602632333552e-05
50.9074811863656,3.02514685981599e-05
51.460823373174,2.99723261828836e-05
52.0141655599823,2.96780289605829e-05
52.5675077467906,2.94112632216399e-05
53.1208499335989,2.91305466199455e-05
53.6741921204073,2.88754340251105e-05
54.2275343072156,2.86074791940291e-05
54.7808764940239,2.83633169733211e-05
55.3342186808322,2.81074522465442e-05
55.8875608676405,2.78735997493081e-05
