timestep:         0.0127065600000000
yAxisLabel:velocity [m/s]       
title:bogies velocity   
vv1,    vv2,    
  0.0000000000000000,  0.0000000000000000,
  0.0000000000000000,  0.0000000000000000,
 -0.0000425160607773,  0.0000408343294191,
 -0.0000946987087674,  0.0000877098310251,
 -0.0001709525677792,  0.0001538739975689,
 -0.0003158770976107,  0.0002804654541953,
 -0.0005221127320248,  0.0004553389210363,
 -0.0008201643132651,  0.0007034358949798,
 -0.0011925587008889,  0.0010013559715269,
 -0.0016003525540283,  0.0013065282229490,
 -0.0020601900198572,  0.0016327204153435,
 -0.0025494108161076,  0.0019544794958196,
 -0.0030279889470504,  0.0022312821752351,
 -0.0034659129703356,  0.0024351138885715,
 -0.0038630779891405,  0.0025687431663118,
 -0.0042227276667293,  0.0026379604610640,
 -0.0045221386622695,  0.0026233360212374,
 -0.0047524829811167,  0.0025206638884143,
 -0.0049375785985123,  0.0023579636755262,
 -0.0051036061338331,  0.0021639958009160,
 -0.0052454403032651,  0.0019359178762112,
 -0.0053757700423503,  0.0016889660520142,
 -0.0055313149058660,  0.0014609937284899,
 -0.0057298598746032,  0.0012693291359326,
 -0.0059943339579692,  0.0011353469348691,
 -0.0063432581548014,  0.0010747861725834,
 -0.0067886599132418,  0.0010959608654779,
 -0.0073382036291564,  0.0012021554907962,
 -0.0079661937470055,  0.0013639429441180,
 -0.0086530825887819,  0.0015595240890749,
 -0.0093723485595853,  0.0017614262967970,
 -0.0100564087253117,  0.0019041733328745,
 -0.0106639522392495,  0.0019520183717569,
 -0.0112035432785900,  0.0019194772906418,
 -0.0116756846221776,  0.0018119482692288,
 -0.0120488586285573,  0.0016036334880124,
 -0.0123276614168591,  0.0013056957502023,
 -0.0125694726551167,  0.0009796406187076,
 -0.0127828739826359,  0.0006359550073608,
 -0.0129170288383538,  0.0002279817275394,
 -0.0129366902964430, -0.0002714611662623,
 -0.0128420035100300, -0.0008524967160919,
 -0.0126236230261954, -0.0015141897545128,
 -0.0122456827912578, -0.0022802317775737,
 -0.0117154514511257, -0.0031301177248408,
 -0.0110892945708152, -0.0039969017101966,
 -0.0104106269547457, -0.0048305459420331,
 -0.0088981835184182, -0.0064377121081285,
 -0.0071925101813181, -0.0082100120879311,
 -0.0054518605919212, -0.0099978117099465,
 -0.0038941781087303, -0.0115899660310281,
 -0.0026477402086042, -0.0128674797582697,
 -0.0018386913267493, -0.0137162012180940,
 -0.0014390877404319, -0.0141755539562210,
 -0.0014445919114841, -0.0142584216573985,
 -0.0018036468662846, -0.0140212264771586,
 -0.0024868387553988, -0.0134965932581034,
 -0.0034033765807509, -0.0127794220306717,
 -0.0044693234461397, -0.0119553479253595,
 -0.0055281243085398, -0.0111763990696987,
 -0.0065102913169131, -0.0105050173315637,
 -0.0073714787513159, -0.0099810948468776,
 -0.0081528647871312, -0.0095594074789963,
 -0.0087668387387792, -0.0093200470383599,
 -0.0091894713392492, -0.0092783928362674,
 -0.0094201129412964, -0.0094292066246134,
 -0.0095327376380627, -0.0096945746179660,
 -0.0095529363643375, -0.0100468193154484,
 -0.0095109652260402, -0.0104557544005393,
 -0.0093774421460592, -0.0109539335868136,
 -0.0091746925523753, -0.0115260399873675,
 -0.0088898263922626, -0.0121920911060472,
 -0.0085892573242700, -0.0128916957770086,
 -0.0082926893467930, -0.0136133005223614,
 -0.0081057569697907, -0.0142589304698559,
 -0.0080622440728025, -0.0148004489790132,
 -0.0082265448966699, -0.0151796166393924,
 -0.0086632449665880, -0.0153370491275127,
 -0.0093779791140608, -0.0152698420608062,
 -0.0102513141911096, -0.0151000952169077,
 -0.0112640717240956, -0.0148502541967759,
 -0.0122972001291282, -0.0146399085085175,
 -0.0132809031029909, -0.0145338966870544,
 -0.0140784054830527, -0.0146613498102655,
 -0.0146105139486646, -0.0150924988668143,
 -0.0148657067381247, -0.0158238166253463,
 -0.0148974240592266, -0.0167783408400304,
 -0.0147238232407317, -0.0179114754052780,
 -0.0144619645321824, -0.0190810560338386,
 -0.0141955195194453, -0.0201767234964939,
 -0.0140005342625337, -0.0210911447435075,
 -0.0138171424669466, -0.0218531284925312,
 -0.0136644955228622, -0.0224171567069854,
 -0.0135473436003320, -0.0227545324645132,
 -0.0134813602022555, -0.0228268918672934,
 -0.0134460899468375, -0.0226379751197288,
 -0.0134395799153333, -0.0221811267619625,
 -0.0134038325616792, -0.0215121091600639,
 -0.0133232682296844, -0.0206496797532783,
 -0.0131285722079465, -0.0196721224476267,
 -0.0128130062440688, -0.0186003125160123,
 -0.0123024495561048, -0.0175246042430115,
 -0.0115563632761702, -0.0165013664439077,
 -0.0105407952295853, -0.0155819192085131,
 -0.0093298739700844, -0.0147113970083584,
 -0.0079925414284713, -0.0138391691505342,
 -0.0065986866499698, -0.0129125254606914,
 -0.0051817906320289, -0.0119160897180222,
 -0.0038301460905225, -0.0107802010775439,
 -0.0025729764185237, -0.0094941635283084,
 -0.0014454567875149, -0.0080411443805000,
 -0.0003977166340780, -0.0064875033792495,
  0.0005967147467722, -0.0048730613369050,
  0.0016090270137647, -0.0032807430099529,
  0.0026632028045747, -0.0017452798476371,
  0.0038087512750307, -0.0003248736496323,
  0.0050569053006418,  0.0009636499178671,
  0.0063981541980617,  0.0021244782496928,
  0.0077570247390218,  0.0032232696199249,
  0.0090910918508250,  0.0042872343692491,
  0.0103259729344911,  0.0053720340655544,
  0.0114681391691554,  0.0064493072040783,
  0.0124588777264578,  0.0075524509183061,
  0.0132896493043817,  0.0086618956486143,
  0.0139633420475733,  0.0097471800656908,
  0.0145033851137247,  0.0107608837154255,
  0.0149118392423339,  0.0116810315062373,
  0.0152099346105862,  0.0124710441655167,
  0.0153776178268137,  0.0131417176204365,
  0.0155259745292361,  0.0135800117234993,
  0.0157407530622652,  0.0137057891439595,
  0.0161004608210750,  0.0134527269261046,
  0.0165789934791320,  0.0128665108836009,
  0.0170986327262531,  0.0120511334405623,
  0.0175784415994454,  0.0111169934181687,
  0.0179866095629354,  0.0101258821058927,
  0.0182328120609188,  0.0091975753010053,
  0.0182783892257053,  0.0083971650520556,
  0.0180775712175902,  0.0077921526779397,
  0.0176591246211495,  0.0073709195330484,
  0.0170096473589428,  0.0071596787599112,
  0.0161594032793437,  0.0071357124505925,
  0.0151331791087113,  0.0072773054453349,
  0.0139944189843491,  0.0075231701995337,
  0.0127895860495572,  0.0078307662350736,
  0.0115710906760346,  0.0081531236660634,
  0.0103427122486467,  0.0084925763894454,
  0.0091528596743857,  0.0088069584830325,
  0.0080006691582014,  0.0091038908531717,
  0.0069024079962382,  0.0093736988047553,
  0.0058546201992669,  0.0096244361764685,
  0.0048780140509785,  0.0098367900263754,
  0.0039796946185129,  0.0100023471690046,
  0.0032089066675114,  0.0100687405777626,
  0.0025744188767356,  0.0100235557170223,
  0.0020928507269624,  0.0098470557975767,
  0.0017395202107919,  0.0095618954187760,
  0.0014978063537814,  0.0091828741241961,
  0.0012953718656131,  0.0087811647037192,
  0.0010997256706255,  0.0083910281522192,
  0.0008860166526017,  0.0080423810116560,
