f,amplitude_1,amplitude_2
0,0.00269825613412566,0.00198259546190329
0.0750591381942736,0.00437977255568809,0.00860679791553691
0.150118276388547,0.00195108334930486,0.00595327933518664
0.225177414582821,0.000264645549413841,0.000830428273310084
0.300236552777094,0.000906387893358516,0.0025862053639654
0.375295690971368,0.000348898934414416,0.000746747003730679
0.450354829165642,0.000125176955651258,8.41535206070481e-05
0.525413967359915,0.000115968175119904,0.000452862817826926
0.600473105554189,1.70251525261871e-05,0.000318070774523255
0.675532243748462,1.12240620212341e-05,2.88633892966154e-05
0.750591381942736,5.8530085536493e-06,5.1525081679483e-05
0.82565052013701,1.72018490175555e-05,7.41690848795784e-05
0.900709658331283,1.04540118544202e-05,5.31207414294741e-05
0.975768796525557,1.96772632712861e-05,0.000178367398725966
1.05082793471983,3.16869641997933e-05,0.000506113323721235
1.1258870729141,5.22233536244044e-05,0.000950499386849094
1.20094621110838,2.06759859964017e-05,0.000938302363446156
1.27600534930265,5.97909756259709e-05,0.000428694744404174
1.35106448749692,6.26646957901577e-05,7.06587680710737e-05
1.4261236256912,1.15823365663723e-05,0.00031257523543964
1.50118276388547,1.28763798125752e-05,0.000172001038895996
1.57624190207975,3.14704015253801e-05,4.180679737877e-05
1.65130104027402,1.3545346675607e-05,4.00215826546312e-05
1.72636017846829,1.59980788299574e-05,4.01394467719656e-05
1.80141931666257,1.82705969384061e-05,4.37362241290101e-05
1.87647845485684,4.81331050530055e-05,3.61531022676817e-05
1.95153759305111,1.90166969789086e-05,3.24101761923564e-05
2.02659673124539,5.99628201860715e-06,2.98893726567071e-05
2.10165586943966,3.57180614162184e-06,2.17928741598198e-05
2.17671500763393,4.79104645504691e-06,2.35051871758929e-05
2.25177414582821,4.54395151264516e-06,2.97327613371425e-05
2.32683328402248,2.53424832930569e-06,2.09797436848526e-05
2.40189242221676,2.7015000135983e-06,2.45583401664384e-05
2.47695156041103,1.0418554642692e-05,2.8669181446377e-05
2.5520106986053,1.82446810304477e-05,4.41691366503286e-05
2.62706983679958,5.35981726578554e-05,8.37315924906555e-05
2.70212897499385,7.421796939787e-05,8.96294658993924e-05
2.77718811318812,1.80872862414266e-05,2.7309057169735e-05
2.8522472513824,1.62910060345785e-05,1.04643800069353e-05
2.92730638957667,1.27770275116092e-05,8.6179013476937e-06
3.00236552777094,1.72135488570152e-06,9.73512528751881e-06
3.07742466596522,4.59563999211154e-06,6.98007332670863e-06
3.15248380415949,5.43559868074687e-06,1.33106170031919e-05
3.22754294235377,4.86069470705437e-06,5.41720160267801e-06
3.30260208054804,2.48557714637313e-06,8.47620562366763e-06
3.37766121874231,2.39416596622634e-06,9.51860089110471e-06
3.45272035693659,4.18483203772028e-06,7.08232113254807e-06
3.52777949513086,1.62854385929494e-06,8.72650151785272e-06
3.60283863332513,6.47997545556275e-06,1.36025910808759e-05
3.67789777151941,3.19220263001425e-06,9.86735247194549e-06
3.75295690971368,2.91163602148812e-06,6.43632171979257e-06
3.82801604790795,3.51735116236741e-06,7.98908566213037e-06
