f,amplitude_1,amplitude_2
0,0.00396417464281451,0.00339183909330408
0.0720567726665027,0.00632762614004593,0.00759322866659629
0.144113545333005,0.00269617198965566,0.00456394517635339
0.216170317999508,0.000339317794850943,0.000647197970919164
0.288227090666011,0.00111065345707964,0.00213005572944932
0.360283863332513,0.000421494465805425,0.000713825900295025
0.432340635999016,0.000149272436050714,0.000136082922111076
0.504397408665519,0.000154244111683661,0.000262749416192259
0.576454181332021,3.71065033279319e-05,0.000180513831626354
0.648510953998524,1.60858117126347e-06,1.43601100957103e-05
0.720567726665027,9.83460941959667e-06,1.7933929279108e-05
0.792624499331529,3.90200541071226e-06,1.39887535333263e-05
0.864681271998032,5.22563479343845e-06,3.57099721768322e-06
0.936738044664535,1.34970561419774e-05,1.33383274064465e-05
1.00879481733104,1.1376487415167e-05,2.93788491256047e-05
1.08085158999754,3.54011405768091e-06,2.3906289804498e-05
1.15290836266404,4.66744516274583e-05,8.03937771902414e-05
1.22496513533055,0.000115090940135625,0.000342408059520855
1.29702190799705,0.000131378169416612,0.000384203654349653
1.36907868066355,7.39835138626618e-05,0.000546236759916472
1.44113545333005,8.89661477126109e-06,0.000139694401325308
1.51319222599656,2.90891399874546e-05,0.000197410528068236
1.58524899866306,1.41444272658169e-05,0.000209580378291921
1.65730577132956,1.75378024412154e-05,7.06618326059188e-05
1.72936254399606,2.85756399491802e-05,4.35477267210859e-05
1.80141931666257,1.53126564921698e-05,5.43004457303108e-05
1.87347608932907,3.36609125680688e-05,3.68433196045929e-05
1.94553286199557,3.17505629931354e-05,3.44226310874974e-05
2.01758963466207,2.42546503214982e-05,1.84268822918741e-05
2.08964640732858,1.56009152688802e-05,7.98772639275678e-06
2.16170317999508,5.25882173158042e-06,1.37332294874891e-05
2.23375995266158,1.30873717783287e-06,7.08020734561521e-06
2.30581672532809,7.79054696166441e-07,9.63470531341479e-06
2.37787349799459,1.34501981621408e-06,6.10756908951534e-06
2.44993027066109,1.09027151529904e-06,8.76923874761544e-06
2.52198704332759,8.6758612850626e-07,6.71884454338222e-06
2.5940438159941,2.08277691627155e-06,8.74998443015897e-06
2.6661005886606,1.19676188956136e-06,8.26904435330992e-06
2.7381573613271,1.83098043456011e-06,6.7967639314731e-06
2.8102141339936,2.5569598626471e-06,9.32813516955506e-06
2.88227090666011,9.09864956965492e-07,6.01904631282441e-06
2.95432767932661,4.84675827168855e-06,1.01861163024298e-05
3.02638445199311,1.12436252822595e-05,1.26863972194162e-05
3.09844122465961,1.15215837576464e-05,5.68875908128207e-06
3.17049799732612,2.05887418398855e-05,1.35189750553121e-05
3.24255476999262,2.14422979639216e-05,1.66307573989549e-05
3.31461154265912,7.19412461938629e-06,1.14173072837016e-05
3.38666831532563,2.22029093971399e-06,1.40165837189374e-06
3.45872508799213,4.37839044209759e-06,6.78607171475244e-06
3.53078186065863,1.99847030373787e-06,7.05688663659975e-06
3.60283863332513,3.03417825306715e-06,3.35638880691303e-06
3.67489540599164,6.90207510792126e-06,1.02395813003569e-05
3.74695217865814,8.34855636066363e-06,1.18292196485366e-05
3.81900895132464,4.79136010307415e-06,7.47806905320252e-06
3.89106572399114,2.13364028507024e-06,4.64990106789763e-06
3.96312249665765,4.15680961854766e-07,3.91581351301143e-06
4.03517926932415,3.78840888147747e-07,4.23852483515617e-06
4.10723604199065,3.31118375996114e-07,3.88750855509919e-06
4.17929281465715,2.87268271509951e-07,3.62346182809087e-06
4.25134958732366,3.54400886961513e-07,3.06718048610859e-06
4.32340635999016,2.62905001943802e-07,3.14816846034491e-06
4.39546313265666,2.77061472898767e-07,3.02818785106318e-06
4.46751990532317,7.97285469081887e-07,2.82084175349015e-06
4.53957667798967,7.25468381690983e-07,3.802408268867e-06
4.61163345065617,2.86588905677442e-07,3.2009130059095e-06
4.68369022332267,1.12053226181544e-06,2.08862049421007e-06
4.75574699598918,9.57771273172603e-07,3.56453099302076e-06
4.82780376865568,7.12277122502014e-07,2.24538402335627e-06
4.89986054132218,4.94715371717099e-06,5.19177831743744e-06
