timestep:         0.0063532800000000
yAxisLabel:velocity [m/s]       
title:bogies velocity   
vv1,    vv2,    
  0.0000000000000000,  0.0000000000000000,
  0.0000000000000000,  0.0000000000000000,
 -0.0000165331732826,  0.0000161425035766,
 -0.0000336648182936,  0.0000322293485777,
 -0.0000581719752360,  0.0000548703811713,
 -0.0000923249601370,  0.0000860127912802,
 -0.0001283549313180,  0.0001177180773991,
 -0.0001738606406310,  0.0001573604052634,
 -0.0002264269143747,  0.0002022392223850,
 -0.0002952936630522,  0.0002611319210705,
 -0.0003807358278466,  0.0003337057486515,
 -0.0004860612646416,  0.0004225877084321,
 -0.0006086547489500,  0.0005245016018956,
 -0.0007493688016782,  0.0006396673475479,
 -0.0009069529309992,  0.0007662233595119,
 -0.0010816922503343,  0.0009038588656069,
 -0.0012716470117206,  0.0010500804108515,
 -0.0014771707536478,  0.0012047074429850,
 -0.0016958439807571,  0.0013648344005094,
 -0.0019249526765206,  0.0015273568911000,
 -0.0021595610998779,  0.0016870992931832,
 -0.0023969630659634,  0.0018412436674604,
 -0.0026346066911754,  0.0019872137748751,
 -0.0028713352671506,  0.0021238790765101,
 -0.0031048473265319,  0.0022490213557556,
 -0.0033329379013328,  0.0023605924713888,
 -0.0035526183865947,  0.0024558531910152,
 -0.0037613512760925,  0.0025326105613704,
 -0.0039569888982707,  0.0025891425877414,
 -0.0041390364155930,  0.0026254182229269,
 -0.0043079134150757,  0.0026423157059587,
 -0.0044644818819217,  0.0026411306464017,
 -0.0046087214464711,  0.0026222711756394,
 -0.0047402426645622,  0.0025857984975042,
 -0.0048588694336581,  0.0025320141119502,
 -0.0049654898623219,  0.0024622851788399,
 -0.0050616166393511,  0.0023785769149947,
 -0.0051490789227045,  0.0022831304787493,
 -0.0052297326857175,  0.0021781709778742,
 -0.0053055435836930,  0.0020659896019078,
 -0.0053784114461523,  0.0019487696512717,
 -0.0054504241913654,  0.0018288376465041,
 -0.0055241702665746,  0.0017089610107125,
 -0.0056029089084881,  0.0015924940558653,
 -0.0056900192836200,  0.0014828131949060,
 -0.0057884538344669,  0.0013827774254102,
 -0.0059007553032809,  0.0012947598808618,
 -0.0060296061427760,  0.0012211973817949,
 -0.0061780252091498,  0.0011647735025273,
 -0.0063490268180516,  0.0011280688041792,
 -0.0065450127217224,  0.0011129636647717,
 -0.0067672064537776,  0.0011201058095973,
 -0.0070151905469437,  0.0011484995700786,
 -0.0072873865715393,  0.0011960324921753,
 -0.0075810746203452,  0.0012595324177715,
 -0.0078929390092342,  0.0013353370013287,
 -0.0082191575491876,  0.0014193962394156,
 -0.0085554127313172,  0.0015072957791142,
 -0.0088967055480022,  0.0015940879358634,
 -0.0092377715177570,  0.0016747187823889,
 -0.0095736228744358,  0.0017445631891322,
 -0.0099001484872798,  0.0017999965032421,
 -0.0102142369403051,  0.0018384793075747,
 -0.0105137390787161,  0.0018584829768981,
 -0.0107971983745639,  0.0018591922801015,
 -0.0110636707002108,  0.0018403076238720,
 -0.0113126904354914,  0.0018019985369729,
 -0.0115445485153473,  0.0017451638734287,
 -0.0117604247870702,  0.0016715395637570,
 -0.0119620784091896,  0.0015833702385524,
 -0.0121510503715160,  0.0014826168972010,
 -0.0123278751427406,  0.0013702041499254,
 -0.0124916308979485,  0.0012456273613932,
 -0.0126399878643098,  0.0011070614191599,
 -0.0127695876331265,  0.0009517882399562,
 -0.0128765480910395,  0.0007767298657977,
 -0.0129568470299945,  0.0005788417902083,
 -0.0130065603527196,  0.0003553484006224,
 -0.0130220538192160,  0.0001039233684928,
 -0.0130002849238640, -0.0001770299538800,
 -0.0129392033309294, -0.0004880133808119,
 -0.0128381084907739, -0.0008281254898859,
 -0.0126977494062476, -0.0011950178463194,
 -0.0125200772453718, -0.0015851927875729,
 -0.0123077410342054, -0.0019945412576634,
 -0.0120635771059858, -0.0024188664320173,
 -0.0117903282159281, -0.0028541632413063,
 -0.0114906948913769, -0.0032965632013560,
 -0.0111676205831423, -0.0037420538732430,
 -0.0108245910949622, -0.0041861963094529,
 -0.0104657371833906, -0.0046240468488305,
 -0.0100956741806766, -0.0050503399044741,
 -0.0097191733962820, -0.0054598289285044,
 -0.0089010579243541, -0.0062970976319543,
 -0.0081420219943492, -0.0070663876397592,
 -0.0072322752423768, -0.0079799982824377,
 -0.0064035016501854, -0.0088070588434692,
 -0.0055012263323690, -0.0097035776317166,
 -0.0047199992155638, -0.0104757385568889,
 -0.0039457108391593, -0.0112396561738958,
 -0.0033186071125279, -0.0118566255388172,
 -0.0027363349553095, -0.0124310024783603,
 -0.0022956004044961, -0.0128674177267084,
 -0.0019202910152771, -0.0132437134384264,
 -0.0016819704933438, -0.0134895432269661,
 -0.0015222481527554, -0.0136646532717546,
 -0.0014889644233400, -0.0137220752259866,
 -0.0015321535965052, -0.0137127005275192,
 -0.0016813311425238, -0.0136075771701952,
 -0.0018963643521413, -0.0134475150684918,
 -0.0021953246953518, -0.0132149244859413,
 -0.0025467806604789, -0.0129417558384604,
 -0.0029602601326282, -0.0126186735979453,
 -0.0034076447874488, -0.0122738134745262,
 -0.0038902685398939, -0.0119055569143982,
 -0.0043842239454214, -0.0115374802819919,
 -0.0048887303759963, -0.0111699074264352,
 -0.0053858915197641, -0.0108202515499361,
 -0.0058739068608117, -0.0104896555075858,
 -0.0063390660598658, -0.0101910329826379,
 -0.0067801418417739, -0.0099246026351583,
 -0.0071882811341209, -0.0096981280731557,
 -0.0075637591359444, -0.0095102355699856,
 -0.0079017645685810, -0.0093647709589561,
 -0.0082043986765612, -0.0092587744791119,
 -0.0084702231226045, -0.0091929043405140,
 -0.0087018144081844, -0.0091638019918071,
 -0.0088982237223221, -0.0091716638977187,
 -0.0090612187147907, -0.0092140409205217,
 -0.0091908973771239, -0.0092903039108410,
 -0.0092897084254329, -0.0093976391084897,
 -0.0093583131287849, -0.0095351869384351,
 -0.0093981176011982, -0.0097014590766304,
 -0.0094092347154641, -0.0098963421190111,
 -0.0093931515001035, -0.0101184089327961,
 -0.0093514875917443, -0.0103661907852895,
 -0.0092876089051152, -0.0106365950293783,
 -0.0092054081217465, -0.0109261373931012,
 -0.0091097754409829, -0.0112304358333458,
 -0.0090049957419601, -0.0115457728784439,
 -0.0088949882093822, -0.0118688321929844,
 -0.0087830447479062, -0.0121969702801519,
 -0.0086730884271674, -0.0125269751707696,
 -0.0085700625272936, -0.0128546863379620,
 -0.0084803810294471, -0.0131745249449129,
 -0.0084104043257405, -0.0134809903281617,
 -0.0083659908657908, -0.0137690742427658,
 -0.0083518199068184, -0.0140349209957863,
 -0.0083721000885636, -0.0142751273030306,
 -0.0084311011756837, -0.0144862386440102,
 -0.0085337832563045, -0.0146641427619308,
 -0.0086849068247382, -0.0148049590411874,
 -0.0088881476663177, -0.0149059016295821,
 -0.0091454577964856, -0.0149659059450601,
 -0.0094562363375056, -0.0149864453559480,
 -0.0098171742837196, -0.0149716657178440,
 -0.0102222182646027, -0.0149283805270136,
 -0.0106627365407854, -0.0148658420009319,
 -0.0111276557903321, -0.0147955280931631,
