f,amplitude_1,amplitude_2
0,0.0039452058527311,0.00339630212549576
0.0750591381942736,0.00629582413977641,0.00760359182372697
0.150118276388547,0.00268206836630858,0.00456250036118143
0.225177414582821,0.000337815020124056,0.00065356219805533
0.300236552777094,0.001106828123166,0.00213062842294343
0.375295690971368,0.000419267515212948,0.000716040598170823
0.450354829165642,0.000150701776998754,0.000131034828103393
0.525413967359915,0.000153673855715524,0.000251796874666136
0.600473105554189,3.47742385518901e-05,0.000184851986401282
0.675532243748462,2.45982254005176e-06,3.25857862398881e-05
0.750591381942736,1.01271807237367e-05,2.42776905487708e-05
0.82565052013701,4.6539716467756e-06,3.79391502964793e-05
0.900709658331283,8.56124068047257e-06,2.13807515880288e-05
0.975768796525557,9.94924222208711e-06,4.01722795285156e-05
1.05082793471983,9.17504364933718e-06,5.39994668309569e-05
1.1258870729141,4.54135863418774e-06,7.75201184494951e-05
1.20094621110838,4.31524500960551e-05,0.000169347589079041
1.27600534930265,0.000120679972171139,0.000491123406802077
1.35106448749692,0.00013772417295531,0.000335390187393737
1.4261236256912,9.90954299448825e-05,0.000715923863681139
1.50118276388547,1.92457017869586e-05,0.000223338071428182
1.57624190207975,2.7313758542898e-05,0.000107146932749422
1.65130104027402,2.05023076135939e-05,4.66330275780455e-05
1.72636017846829,1.73554166273621e-05,3.68290323544708e-05
1.80141931666257,4.36670570346582e-05,3.75648457825652e-05
1.87647845485684,2.4959852664781e-05,1.79066447251955e-05
1.95153759305111,4.57535463432965e-05,2.60672142480011e-05
2.02659673124539,2.82357161716779e-05,1.1579777698772e-05
2.10165586943966,1.04411476145104e-05,1.59513813973065e-05
2.17671500763393,4.08617591820405e-06,1.01323351751874e-05
2.25177414582821,8.75440225414809e-07,1.04945782836099e-05
2.32683328402248,2.13240290948848e-06,1.25191227274211e-05
2.40189242221676,8.68486585788952e-07,9.45581566447632e-06
2.47695156041103,4.36974576672791e-07,1.05165564598144e-05
2.5520106986053,9.55872437488426e-07,6.9770438763339e-06
2.62706983679958,1.35576463974171e-06,7.3951953937016e-06
