Var1,P1
0,7.44594477833449e-05
0.421405445969123,0.000351327152730309
0.842810891938247,0.000779879979075835
1.26421633790737,0.00136549645212497
1.68562178387649,0.00166394809879994
2.10702722984562,0.0011725670654276
2.52843267581474,0.00213257629143416
2.94983812178386,0.000975008442837599
3.37124356775299,0.000470349250542717
3.79264901372211,0.000478450993943125
4.21405445969124,0.000151249901854358
4.63545990566036,0.000224552761133261
5.05686535162948,0.000223764679320455
5.47827079759861,5.92374017484763e-05
5.89967624356773,6.99867968145223e-05
6.32108168953685,4.72160501856859e-05
6.74248713550598,5.11333256222108e-05
7.1638925814751,6.80627582129275e-05
7.58529802744422,3.10095075219919e-05
8.00670347341335,7.21486810807477e-05
8.42810891938247,6.45122772589067e-05
8.84951436535159,2.02019665690434e-05
9.27091981132072,3.53189052202791e-05
9.69232525728984,1.68396000420903e-05
10.113730703259,2.2373387358356e-05
10.5351361492281,2.76627375539471e-05
10.9565415951972,1.91383528759358e-05
11.3779470411663,4.06278169037556e-05
11.7993524871355,3.25805093996399e-05
12.2207579331046,1.62138146953874e-05
12.6421633790737,2.36370526949618e-05
13.0635688250428,8.70620508357742e-06
13.484974271012,1.31048161399029e-05
13.9063797169811,1.46383841081055e-05
14.3277851629502,1.49137387943028e-05
14.7491906089193,2.76860911738952e-05
15.1705960548884,2.09727742688005e-05
15.5920015008576,1.48369276017618e-05
16.0134069468267,1.80798848889625e-05
16.4348123927958,6.00194341072678e-06
16.8562178387649,8.24189342708941e-06
17.2776232847341,8.3015173014919e-06
17.6990287307032,1.26196663704797e-05
18.1204341766723,2.1037378166028e-05
18.5418396226414,1.60001717022882e-05
18.9632450686106,1.42879440500441e-05
19.3846505145797,1.54821992619976e-05
19.8060559605488,5.74333556990614e-06
20.2274614065179,4.21327902066967e-06
20.6488668524871,3.88124235539564e-06
21.0702722984562,1.14930632422732e-05
21.4916777444253,1.7737071911675e-05
21.9130831903944,1.461362312612e-05
22.3344886363635,1.53266416238042e-05
22.7558940823327,1.65885347655154e-05
23.1772995283018,1.02168867454124e-05
23.5987049742709,4.41321608657059e-06
24.02011042024,8.12597667994283e-06
24.4415158662092,1.77251181225019e-05
24.8629213121783,2.17883040017308e-05
25.2843267581474,1.29130813440011e-05
25.7057322041165,1.05298382555831e-05
26.1271376500857,3.48613318720242e-05
26.5485430960548,5.2212945393353e-05
26.9699485420239,5.17439995409078e-05
27.391353987993,3.39125520151184e-05
27.8127594339622,1.43411926800424e-05
28.2341648799313,1.14003621295836e-05
28.6555703259004,7.88524190908575e-06
29.0769757718695,4.49025899506386e-06
29.4983812178386,4.74478131727333e-06
29.9197866638078,7.05527965414307e-06
30.3411921097769,1.07165094894619e-05
30.762597555746,8.3106515275822e-06
31.1840030017151,6.56628248944423e-06
31.6054084476843,6.80880804565949e-06
32.0268138936534,2.43895844381361e-06
32.4482193396225,4.24304292748745e-06
32.8696247855916,4.33678066138198e-06
33.2910302315608,5.28507006882759e-06
33.7124356775299,7.77525661021533e-06
34.133841123499,5.94220120820486e-06
34.5552465694681,6.00496452708288e-06
34.9766520154373,6.04298089641491e-06
35.3980574614064,3.1854891094126e-06
35.8194629073755,4.70975275506501e-06
36.2408683533446,4.05784328117756e-06
36.6622737993137,4.64181162091138e-06
37.0836792452829,6.3511603072177e-06
37.505084691252,4.84932892261639e-06
37.9264901372211,5.61502752148763e-06
38.3478955831902,5.45031638959556e-06
38.7693010291594,3.44736709026865e-06
39.1907064751285,4.68965096826222e-06
39.6121119210976,3.78384099999724e-06
40.0335173670667,4.30994873175652e-06
40.4549228130359,5.4566193537645e-06
40.876328259005,4.18518184604339e-06
41.2977337049741,5.14897897047129e-06
41.7191391509432,4.82027442506987e-06
42.1405445969123,3.47429251263752e-06
42.5619500428815,4.51508810021064e-06
42.9833554888506,3.50070346399866e-06
43.4047609348197,4.03402425880523e-06
43.8261663807888,4.81119414720463e-06
44.247571826758,3.82205067128929e-06
44.6689772727271,4.79335456359177e-06
45.0903827186962,4.33099268142545e-06
45.5117881646653,3.5003129771926e-06
45.9331936106345,4.32628649545485e-06
46.3545990566036,3.31054952652585e-06
46.7760045025727,3.84438504510784e-06
47.1974099485418,4.24714634024008e-06
47.618815394511,3.43689890091951e-06
48.0402208404801,4.41735109130014e-06
48.4616262864492,3.8997060593266e-06
48.8830317324183,3.46262782333899e-06
