f,amplitude_1,amplitude_2
0,0.00271570373057986,0.00198427826111256
0.0899422930247953,0.00441124720290727,0.00867454044909778
0.179884586049591,0.001973783630296,0.00613788540351145
0.269826879074386,0.000242666012813576,0.000768877653008568
0.359769172099181,0.000890076246451935,0.00268042165740333
0.449711465123976,0.000360046506889933,0.000750101100599965
0.539653758148772,0.000128036421209567,0.000132803690583372
0.629596051173567,8.24986650769291e-05,0.000503486509647427
0.719538344198362,2.37762156062883e-05,0.000320325999923738
0.809480637223157,1.59123850153877e-06,5.59128264177336e-05
0.899422930247953,1.0028491499018e-05,5.80127458722385e-05
0.989365223272748,9.02949156039103e-06,4.5566492178099e-05
1.07930751629754,9.27526346858906e-06,0.000131623686301851
1.16924980932234,1.64219403978099e-05,0.000179203967759206
1.25919210234713,6.69550282174082e-06,8.098208339518e-05
1.34913439537193,1.43177734097818e-05,0.000131060601459274
1.43907668839672,1.00404535001314e-05,0.000210654694350475
1.52901898142152,8.59453896107565e-05,0.000552878307505128
1.61896127444631,9.03389417368418e-05,0.000149729089500138
1.70890356747111,1.88904742418747e-05,2.7077269201663e-05
1.79884586049591,4.46589578962192e-05,3.86660100662262e-05
1.8887881535207,9.50659125393753e-05,2.4576103007046e-05
1.9787304465455,4.08472073047596e-05,2.32086517712579e-06
2.06867273957029,1.51202415936404e-05,1.0599396680402e-05
2.15861503259509,1.56419310952723e-05,2.26232995681224e-05
2.24855732561988,6.78879593307373e-06,1.32254591622669e-05
2.33849961864468,2.83940999150434e-06,7.90521818786148e-06
2.42844191166947,1.43074903994877e-05,2.56029045332003e-05
2.51838420469427,1.1308341082044e-05,1.81874300314745e-05
2.60832649771906,1.57035166676245e-05,2.17294825595324e-05
2.69826879074386,3.68066498688759e-05,5.2874330760566e-05
2.78821108376865,5.63725856824457e-06,6.81182018238332e-06
2.87815337679345,3.89840344614267e-06,6.11396772758838e-06
2.96809566981824,6.63981329949626e-06,6.02457624010604e-06
3.05803796284304,1.50873633794471e-06,2.88794588207757e-06
3.14798025586783,8.8205740873309e-06,1.40480395362097e-05
3.23792254889263,8.88493713736499e-06,1.33683533828807e-05
3.32786484191743,2.31241914585611e-06,3.59065693317145e-06
3.41780713494222,1.75622510971459e-06,2.29601265746868e-06
3.50774942796702,3.21198111449237e-06,3.28139071875756e-06
3.59769172099181,1.50862417395984e-06,3.02072662874369e-06
3.68763401401661,1.45436038197015e-06,4.97354575753029e-07
3.7775763070414,1.51003436765443e-06,3.66429454332723e-06
